Instancia,Distancia greedy,Distancia LP,Mejora relativa,Tiempo LP
input/small_0.csv,36.9,29.299999999999997,25.938566552901033,0.012197017669677734
input/small_1.csv,42.4,32.4,30.864197530864203,0.0012879371643066406
input/small_2.csv,65.60000000000001,56.900000000000006,15.28998242530756,0.0014331340789794922
input/small_3.csv,29.500000000000004,23.7,24.472573839662466,0.0017309188842773438
input/small_4.csv,33.9,30.8,10.064935064935057,0.0011730194091796875
input/small_5.csv,63.599999999999994,54.39999999999999,16.91176470588236,0.0016512870788574219
input/small_6.csv,44.9,41.0,9.512195121951216,0.002003908157348633
input/small_7.csv,56.3,46.900000000000006,20.04264392324092,0.0012559890747070312
input/small_8.csv,38.1,35.50000000000001,7.323943661971813,0.0028772354125976562
input/small_9.csv,58.099999999999994,49.699999999999996,16.901408450704224,0.0012900829315185547
input/medium_0.csv,408.7,329.50000000000006,24.03641881638844,0.06830406188964844
input/medium_1.csv,380.0,344.20000000000005,10.400929692039497,0.07360982894897461
input/medium_2.csv,307.70000000000005,241.49999999999997,27.412008281573534,0.06391596794128418
input/medium_3.csv,380.1,317.40000000000015,19.754253308128497,0.07911109924316406
input/medium_4.csv,279.2000000000001,234.80000000000004,18.909710391822852,0.05501508712768555
input/medium_5.csv,398.5,341.69999999999993,16.622768510389253,0.08830499649047852
input/medium_6.csv,323.09999999999997,250.9,28.776404942208032,0.05555987358093262
input/medium_7.csv,325.5,260.0,25.192307692307693,0.05895495414733887
input/medium_8.csv,271.29999999999995,227.60000000000002,19.200351493848824,0.055504798889160156
input/medium_9.csv,299.0,258.7000000000001,15.577889447236135,0.07225584983825684
input/large_0.csv,917.9000000000003,706.4999999999997,29.922151450813978,1.2492039203643799
input/large_1.csv,988.1999999999999,773.9,27.690916139036048,1.4574437141418457
input/large_2.csv,736.8999999999997,599.4999999999999,22.91909924937446,0.8842020034790039
input/large_3.csv,844.5000000000002,730.9000000000001,15.542481871665087,2.050926923751831
input/large_4.csv,844.2000000000003,727.0,16.121045392022047,1.1073999404907227
input/large_5.csv,795.7,635.6,25.188797986154814,1.1603269577026367
input/large_6.csv,793.7,676.1000000000004,17.39387664546659,1.631437063217163
input/large_7.csv,867.8000000000003,681.7000000000006,27.299398562417416,1.0788140296936035
input/large_8.csv,944.8999999999999,825.7,14.436235921036673,0.9391400814056396
input/large_9.csv,762.1999999999999,659.1,15.642542861477759,1.4648079872131348
input/xl_0.csv,1655.3,1371.1999999999991,20.71907817969669,4.17790412902832
input/xl_1.csv,1605.1,1412.799999999999,13.611268403171078,5.274811267852783
input/xl_2.csv,1486.899999999999,1270.6000000000004,17.023453486541676,4.192034959793091
input/xl_3.csv,1390.2000000000003,1174.400000000001,18.375340599454965,4.415561199188232
input/xl_4.csv,1466.9999999999995,1291.7,13.571262677092163,5.296298027038574
input/xl_5.csv,1441.5000000000005,1255.3999999999996,14.82396049068033,4.204810857772827
input/xl_6.csv,1737.3999999999996,1521.7999999999981,14.167433302668009,4.649899005889893
input/xl_7.csv,1705.1,1417.4000000000005,20.297728234796054,4.009871959686279
input/xl_8.csv,1512.6999999999998,1243.5000000000007,21.648572577402412,4.776553153991699
input/xl_9.csv,1531.7000000000003,1309.4000000000005,16.97724148464943,3.8961079120635986
